구분,월요일(05/15),화요일(05/16),수요일(05/17),목요일(05/18),금요일(05/19),토요일(05/20),일요일(05/21)
중식,한식,"돈육김치덮밥
감자샐러드
단무지","등심돈까스
야채샐러드
단무지
오렌지주스","마파두부덮밥
야채고로케*케찹
단무지","잔치국수
갈비만두
김치","스팸김치덮밥
핫도그*케찹
단무지",,
650Kcal,810Kcal,780Kcal,720Kcal,490Kcal,,
11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
특식,"들깨미역국
대패숙주볶음
오징어초무침
감자샐러드
명엽채조림
김치","시래기밥*양념장
청국장찌개
제육볶음
부추생채
깍두기
오렌지주스","수육
콩나물국
쌈야채*쌈장
파절이무침
김치","콩비지김치찌개
닭가슴살브로콜리볶음
잡채
오이생채
깍두기
약과","바질크림파스타
크림치즈볼
마늘바게트
피클
망고주스",,
840Kcal,760Kcal,750Kcal,680Kcal,780Kcal,,
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
석식,학생석식,"해물순두부찌개
해물경단전
미역줄기볶음","돈육카레라이스
쫄면야채무침
단무지","닭갈비야채덮밥
마카로니콘샐러드
단무지","제육야채덮밥
소떡소떡
단무지","치킨하이라이스
생선까스
단무지
요구르트",,
750Kcal,780Kcal,720Kcal,780Kcal,840Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
석식,"계란탕
소고기당면볶음
해물경단전
미역줄기볶음
멸치견과류조림
김치","아욱된장국
닭볶음탕
쫄면야채무침
연근조림
깍두기
과즙음료","배추된장국
해물콩나물찜
두부구이양념장
도시락김
김치
마카로니샐러드","오징어무국
순대야채볶음
메추리알조림
숙주나물무침
깻잎지
김치","고추장찌개
생선까스*타르소스
스크램블에그
감자채볶음
깍두기
요구르트",,
760Kcal,740Kcal,740Kcal,760Kcal,750Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
공지사항,
