구분,월요일(07/03),화요일(07/04),수요일(07/05),목요일(07/06),금요일(07/07),토요일(07/08),일요일(07/09)
중식,한식,"돈육김치덮밥
핫도그*케찹
단무지","치킨데리야채덮밥
고구마맛탕
김치","카레라이스
단호박샐러드
깍두기","돼지고기김치찌개
도시락김
스크램블에그","등심돈까스
옥수수스프
야채샐러드
단무지",,
860Kcal,880Kcal,780Kcal,860Kcal,840Kcal,,
11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
특식,"떡국
닭볶음탕
핫도그*케찹
상추겉절이
콩자반
김치","콩나물김치국
고등어무조림
돈육깻잎튀김
건파래볶음
고구마맛탕
깍두기","브로콜리단호박카레라이스
양송이찹스테이크
계란탕
단호박샐러드
깍두기
요구르트","다시마감자국
간장제육볶음
스크램블에그
도시락김
김치
황도","(뚝)육개장
가자미무조림
야채샐러드
청경채나물
김치",,
850Kcal,820Kcal,800Kcal,680Kcal,860Kcal,,
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
석식,학생석식,"함박스테이크
생선까스*타르소스
야채샐러드
파인애플
단무지","가라아게동
쥬시쿨
깍두기","파스타
마늘빵
피클","사천짜장덮밥
만두탕수
단무지","황태콩나물국
미트볼케찹조림
깍두기",,
820Kcal,860Kcal,880Kcal,780Kcal,735Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
석식,"꼬치어묵탕
순대야채볶음
생선까스*타르소스
오이생채
김치
파인애플","얼갈이된장국
김치제육볶음
온두부
치커리생채
명엽채조림
깍두기","들깨미역국
대패숙주볶음
해파린애채
청포묵김가루무침
콩나물무침
김치","부추계란탕
짜장야채덮밥
고추잡채*꽃빵
꿔바로우탕수육
깍두기
망고푸딩젤리","소고기미역국
간장찜닭
미트볼케찹조림
숙주나물무침
도시락김
깍두기",,
780Kcal,680Kcal,820Kcal,760Kcal,790Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
공지사항,
