구분,월요일(09/04),화요일(09/05),수요일(09/06),목요일(09/07),금요일(09/08),토요일(09/09),일요일(09/10)
중식,한식,"가라아게카레덮밥
인절미토스트
깍두기","파스타
마늘빵
피클","마파두부덮밥
야채고로케*케찹
단무지","제육야채덮밥
새우튀김*타르소스
깍두기","등심돈까스
야채샐러드
단무지
요구르트",,
860Kcal,880Kcal,780Kcal,860Kcal,840Kcal,,
11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
특식,"얼갈이된장국
고추장오리불고기
어묵계란전
숙주나물
깍두기
아이스홍시","[치콜데이]
순살치킨
감자튀김
떡볶이
비트무초절이
샐러드*케요네즈
콜라","수육
콩나물국
쌈야채*쌈장
파절이무침
김치","계란감자탕
찹스테이크
새우튀김
청경채무침
깍두기","시래기밥*양념장
청국장찌개
제육볶음
부추생채
깍두기
요구르트",,
850Kcal,820Kcal,800Kcal,680Kcal,860Kcal,,
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
석식,학생석식,"볶음우동
타코야끼
단무지
파인애플","소고기우거지탕
너비아니구이
깍두기","닭갈비야채덮밥
마카로니샐러드
단무지","치킨스테이크
통살새우까스
야채샐러드
단무지
오렌지주스","육개장
비엔나케찹볶음
구이김",,
820Kcal,860Kcal,880Kcal,780Kcal,735Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
석식,"(뚝)순대국
부추생채
마늘쫑고추쌈장무침
깍두기
파인애플","꼬치어묵국
훈제오리볶음
명엽채조림
연근흑임자샐러드
숙주나물
깍두기","배추된장국
해물콩나물찜
두부구이양념장
도시락김
김치
마카로니샐러드","돈육김치찌개
조기구이
계란찜
우엉조림
깍두기
오렌지주스","부추계란탕
유린기
메추리알조림
느타리버섯무침
구이김
김치",,
780Kcal,680Kcal,820Kcal,760Kcal,790Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
공지사항,
