구분,월요일(03/27),화요일(03/28),수요일(03/29),목요일(03/30),금요일(03/31),토요일(04/01),일요일(04/02)
중식,한식,"오삼야채덮밥
어묵볶음
깍두기
가쓰오국","돼지고기김치찌개
계란찜
도시락김","치즈등심돈가스
옥수수스프
야채샐러드
단무지","유부멸치국수
꽈배기
김치","스팸기치덮밥
고로케*케찹
유부미소국
단무지",,
740Kcal,810Kcal,780Kcal,720Kcal,780Kcal,,
11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,11:00~13:30,,
"     4,000원","     4,000원","     4,500원","     4,000원","     4,000원",,
특식,"소고기무국
콩나물불고기
유부맛살겨자채무침
어묵볶음
도시락김
깍두기","소고기해물볶음밥
*짜장소스
고추마요만두튀김
해파리냉채
미소국
단무지","꼬치어묵국
훈제오리볶음
우엉조림
숙주나물
김치
요구르트","버섯매운탕
삼겹숙주볶음
연두부양념장
멸치땅콩조림
김치
약과","계란감자탕
순대야채볶음
고로케*케찹
연근샐러드
깻잎지
깍두기",,
780Kcal,760Kcal,750Kcal,860Kcal,720Kcal,,
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
석식,학생석식,"소고기버섯불고기덮밥
오이생채
단무지
가쓰오국","치킨하이라이스
메밀전병
김치
계란탕","제육야채덮밥
참나물무침
단무지
미역국","가라아게동
단무지
쥬시쿨","육개장
고기산적조림
깍두기",,
750Kcal,830Kcal,720Kcal,720Kcal,780Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     4,000원","     4,000원","     4,000원","     4,000원","     4,000원",,
석식,"우거지된장국
가자미구이
소세지칠리조림
브로콜리참깨소스무침
오이생채
김치","등뼈감자탕
메밀전병
콩나물무침
김치
황도","미역국
제육볶음
깻잎완자튀김
알감자조림
참나물무침
김치","류산슬덮밥
미역장국
꿔바로우탕수육
단무지
김치
요구르트","물만둣국
찜닭
고기산적조림
미역줄기볶음
깍두기
도시락김",,
720Kcal,740Kcal,740Kcal,760Kcal,750Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
"     5,500원","     5,500원","     5,500원","     5,500원","     5,500원",,
공지사항,
